customer_id,gender,is_senior_citizen,partner,dependents,phone_service,internet_service,contract_type,payment_type,monthly_charges,total_charges,churn,tenure,is_female,has_churned,has_internet,has_phone,has_phone_and_internet,partner_dependents,monthly_average,validate,phone_details,rounded_tenure,type_of_service
0017-DINOC,Male,0,No,No,0,1,2,Credit card (automatic),45.2,2460.55,No,54.0,FALSE,FALSE,TRUE,FALSE,FALSE,0,54.44,FALSE,No Phone Service,54.0,internet
0017-IUDMW,Female,0,Yes,Yes,2,2,2,Credit card (automatic),116.8,8456.75,No,72.0,TRUE,FALSE,TRUE,TRUE,TRUE,3,72.4,FALSE,Two or More Lines,72.0,internet+phone
0018-NYROU,Female,0,Yes,No,1,2,0,Electronic check,68.95,351.5,No,5.0,TRUE,FALSE,TRUE,TRUE,TRUE,1,5.1,FALSE,One Line,5.0,internet+phone
0019-EFAEP,Female,0,No,No,2,2,2,Bank transfer (automatic),101.3,7261.25,No,72.0,TRUE,FALSE,TRUE,TRUE,TRUE,0,71.68,FALSE,Two or More Lines,72.0,internet+phone
0019-GFNTW,Female,0,No,No,0,1,2,Bank transfer (automatic),45.05,2560.1,No,57.0,TRUE,FALSE,TRUE,FALSE,FALSE,0,56.83,FALSE,No Phone Service,57.0,internet
0020-INWCK,Female,0,Yes,Yes,2,2,2,Credit card (automatic),95.75,6849.4,No,72.0,TRUE,FALSE,TRUE,TRUE,TRUE,3,71.53,FALSE,Two or More Lines,72.0,internet+phone
0020-JDNXP,Female,0,Yes,Yes,0,1,1,Mailed check,61.25,1993.2,No,33.0,TRUE,FALSE,TRUE,FALSE,FALSE,3,32.54,FALSE,No Phone Service,33.0,internet
0021-IKXGC,Female,1,No,No,2,2,0,Electronic check,72.1,72.1,No,1.0,TRUE,FALSE,TRUE,TRUE,TRUE,0,1,FALSE,Two or More Lines,1.0,internet+phone
0022-TCJCI,Male,1,No,No,1,1,1,Credit card (automatic),62.7,2791.5,Yes,45.0,FALSE,TRUE,TRUE,TRUE,TRUE,0,44.52,FALSE,One Line,45.0,internet+phone
0023-HGHWL,Male,1,No,No,0,1,0,Electronic check,25.1,25.1,Yes,1.0,FALSE,TRUE,TRUE,FALSE,FALSE,0,1,FALSE,No Phone Service,1.0,internet
0023-UYUPN,Female,1,Yes,No,2,0,1,Electronic check,25.2,1306.3,No,52.0,TRUE,FALSE,FALSE,TRUE,FALSE,1,51.84,FALSE,Two or More Lines,52.0,phone
0023-XUOPT,Female,0,Yes,No,2,2,0,Electronic check,94.1,1215.6,Yes,13.0,TRUE,TRUE,TRUE,TRUE,TRUE,1,12.92,FALSE,Two or More Lines,13.0,internet+phone
0027-KWYKW,Female,0,Yes,Yes,2,2,0,Electronic check,83.75,1849.95,No,22.0,TRUE,FALSE,TRUE,TRUE,TRUE,3,22.09,FALSE,Two or More Lines,22.0,internet+phone
0030-FNXPP,Female,0,No,No,1,0,0,Mailed check,19.85,57.2,No,3.0,TRUE,FALSE,FALSE,TRUE,FALSE,0,2.88,FALSE,One Line,3.0,phone
0031-PVLZI,Female,0,Yes,Yes,1,0,0,Mailed check,20.35,76.35,Yes,4.0,TRUE,TRUE,FALSE,TRUE,FALSE,3,3.75,FALSE,One Line,4.0,phone
0032-PGELS,Female,0,Yes,Yes,0,1,0,Bank transfer (automatic),30.5,30.5,Yes,1.0,TRUE,TRUE,TRUE,FALSE,FALSE,3,1,FALSE,No Phone Service,1.0,internet
0036-IHMOT,Female,0,Yes,Yes,1,2,1,Bank transfer (automatic),103.7,5656.75,No,55.0,TRUE,FALSE,TRUE,TRUE,TRUE,3,54.55,FALSE,One Line,55.0,internet+phone
0040-HALCW,Male,0,Yes,Yes,1,0,2,Credit card (automatic),20.4,1090.6,No,53.0,FALSE,FALSE,FALSE,TRUE,FALSE,3,53.46,FALSE,One Line,53.0,phone
0042-JVWOJ,Male,0,No,No,1,0,1,Bank transfer (automatic),19.6,471.85,No,24.0,FALSE,FALSE,FALSE,TRUE,FALSE,0,24.07,FALSE,One Line,24.0,phone
0042-RLHYP,Female,0,Yes,Yes,1,0,2,Bank transfer (automatic),19.7,1396.9,No,71.0,TRUE,FALSE,FALSE,TRUE,FALSE,3,70.91,FALSE,One Line,71.0,phone
0048-LUMLS,Male,0,Yes,Yes,1,2,1,Credit card (automatic),91.2,3247.55,No,36.0,FALSE,FALSE,TRUE,TRUE,TRUE,3,35.61,FALSE,One Line,36.0,internet+phone
0048-PIHNL,Female,0,Yes,No,1,0,1,Bank transfer (automatic),20.45,900.9,No,44.0,TRUE,FALSE,FALSE,TRUE,FALSE,1,44.05,FALSE,One Line,44.0,phone
0052-DCKON,Male,0,Yes,No,2,2,1,Bank transfer (automatic),115.8,7942.15,No,69.0,FALSE,FALSE,TRUE,TRUE,TRUE,1,68.59,FALSE,Two or More Lines,69.0,internet+phone
0052-YNYOT,Female,0,No,No,1,0,1,Electronic check,20.55,1343.4,No,65.0,TRUE,FALSE,FALSE,TRUE,FALSE,0,65.37,FALSE,One Line,65.0,phone
0056-EPFBG,Male,0,Yes,Yes,0,1,2,Credit card (automatic),39.4,825.4,No,21.0,FALSE,FALSE,TRUE,FALSE,FALSE,3,20.95,FALSE,No Phone Service,21.0,internet
0057-QBUQH,Female,0,No,Yes,2,0,2,Electronic check,25.1,1070.15,No,43.0,TRUE,FALSE,FALSE,TRUE,FALSE,2,42.64,FALSE,Two or More Lines,43.0,phone
0058-EVZWM,Female,0,Yes,No,2,2,0,Bank transfer (automatic),89.8,4959.6,No,55.0,TRUE,FALSE,TRUE,TRUE,TRUE,1,55.23,FALSE,Two or More Lines,55.0,internet+phone
0060-FUALY,Female,0,Yes,No,2,2,0,Electronic check,94.75,5597.65,No,59.0,TRUE,FALSE,TRUE,TRUE,TRUE,1,59.08,FALSE,Two or More Lines,59.0,internet+phone
0064-SUDOG,Female,0,Yes,Yes,1,0,2,Bank transfer (automatic),20.3,224.5,No,11.0,TRUE,FALSE,FALSE,TRUE,FALSE,3,11.06,FALSE,One Line,11.0,phone
0064-YIJGF,Male,0,Yes,Yes,2,2,0,Bank transfer (automatic),75.75,1929,No,25.0,FALSE,FALSE,TRUE,TRUE,TRUE,3,25.47,FALSE,Two or More Lines,25.0,internet+phone
0067-DKWBL,Male,1,No,No,1,1,0,Electronic check,49.25,91.1,Yes,2.0,FALSE,TRUE,TRUE,TRUE,TRUE,0,1.85,FALSE,One Line,2.0,internet+phone
0068-FIGTF,Female,0,No,No,1,1,1,Mailed check,78.2,2078.95,No,27.0,TRUE,FALSE,TRUE,TRUE,TRUE,0,26.59,FALSE,One Line,27.0,internet+phone
0071-NDAFP,Male,0,Yes,Yes,2,0,2,Credit card (automatic),25.5,630.6,No,25.0,FALSE,FALSE,FALSE,TRUE,FALSE,3,24.73,FALSE,Two or More Lines,25.0,phone
0074-HDKDG,Male,0,Yes,Yes,1,1,1,Bank transfer (automatic),61.6,1611,No,26.0,FALSE,FALSE,TRUE,TRUE,TRUE,3,26.15,FALSE,One Line,26.0,internet+phone
0076-LVEPS,Male,0,No,Yes,0,1,0,Mailed check,45,1242.45,No,28.0,FALSE,FALSE,TRUE,FALSE,FALSE,2,27.61,FALSE,No Phone Service,28.0,internet
0078-XZMHT,Male,0,Yes,No,2,1,2,Bank transfer (automatic),85.15,6316.2,No,74.0,FALSE,FALSE,TRUE,TRUE,TRUE,1,74.18,FALSE,Two or More Lines,74.0,internet+phone
0080-EMYVY,Female,0,No,No,1,1,1,Credit card (automatic),51.45,727.85,No,14.0,TRUE,FALSE,TRUE,TRUE,TRUE,0,14.15,FALSE,One Line,14.0,internet+phone
0080-OROZO,Female,0,No,No,1,2,1,Electronic check,99.25,3532,No,36.0,TRUE,FALSE,TRUE,TRUE,TRUE,0,35.59,FALSE,One Line,36.0,internet+phone
0082-LDZUE,Male,0,No,No,1,1,0,Mailed check,44.3,44.3,No,1.0,FALSE,FALSE,TRUE,TRUE,TRUE,0,1,FALSE,One Line,1.0,internet+phone
0082-OQIQY,Male,0,No,No,1,2,0,Electronic check,94.2,2607.6,No,28.0,FALSE,FALSE,TRUE,TRUE,TRUE,0,27.68,FALSE,One Line,28.0,internet+phone
0083-PIVIK,Male,0,No,No,2,1,1,Electronic check,81.25,5567.55,No,69.0,FALSE,FALSE,TRUE,TRUE,TRUE,0,68.52,FALSE,Two or More Lines,69.0,internet+phone
0089-IIQKO,Female,0,Yes,Yes,2,2,0,Credit card (automatic),99.95,3767.4,No,38.0,TRUE,FALSE,TRUE,TRUE,TRUE,3,37.69,FALSE,Two or More Lines,38.0,internet+phone
0093-EXYQL,Female,1,No,No,1,2,0,Electronic check,91.55,3673.6,No,40.0,TRUE,FALSE,TRUE,TRUE,TRUE,0,40.13,FALSE,One Line,40.0,internet+phone
0093-XWZFY,Male,0,No,No,2,2,0,Credit card (automatic),104.5,4036.85,Yes,39.0,FALSE,TRUE,TRUE,TRUE,TRUE,0,38.63,FALSE,Two or More Lines,39.0,internet+phone
0094-OIFMO,Female,1,No,No,1,2,0,Electronic check,95,1120.3,Yes,12.0,TRUE,TRUE,TRUE,TRUE,TRUE,0,11.79,FALSE,One Line,12.0,internet+phone
0096-BXERS,Female,0,Yes,No,2,1,0,Electronic check,50.35,314.55,No,6.0,TRUE,FALSE,TRUE,TRUE,TRUE,1,6.25,FALSE,Two or More Lines,6.0,internet+phone
0096-FCPUF,Male,0,No,No,2,1,0,Mailed check,64.5,1888.45,No,29.0,FALSE,FALSE,TRUE,TRUE,TRUE,0,29.28,FALSE,Two or More Lines,29.0,internet+phone
0098-BOWSO,Male,0,No,No,1,0,0,Electronic check,19.4,529.8,No,27.0,FALSE,FALSE,FALSE,TRUE,FALSE,0,27.31,FALSE,One Line,27.0,phone
0100-DUVFC,Male,1,Yes,No,2,2,1,Electronic check,104.8,7308.95,No,70.0,FALSE,FALSE,TRUE,TRUE,TRUE,1,69.74,FALSE,Two or More Lines,70.0,internet+phone
0103-CSITQ,Female,0,Yes,No,2,2,1,Bank transfer (automatic),109.4,6252.7,No,57.0,TRUE,FALSE,TRUE,TRUE,TRUE,1,57.15,FALSE,Two or More Lines,57.0,internet+phone
0104-PPXDV,Male,0,Yes,No,1,1,1,Credit card (automatic),50.3,2878.55,No,57.0,FALSE,FALSE,TRUE,TRUE,TRUE,1,57.23,FALSE,One Line,57.0,internet+phone
0106-GHRQR,Male,0,No,No,2,1,0,Bank transfer (automatic),71.4,1212.1,No,17.0,FALSE,FALSE,TRUE,TRUE,TRUE,0,16.98,FALSE,Two or More Lines,17.0,internet+phone
0106-UGRDO,Female,0,Yes,No,2,2,2,Electronic check,116,8182.85,No,71.0,TRUE,FALSE,TRUE,TRUE,TRUE,1,70.54,FALSE,Two or More Lines,71.0,internet+phone
0107-WESLM,Male,0,No,No,1,0,0,Electronic check,19.85,19.85,Yes,1.0,FALSE,TRUE,FALSE,TRUE,FALSE,0,1,FALSE,One Line,1.0,phone
0107-YHINA,Male,0,No,Yes,2,2,0,Electronic check,99.75,99.75,Yes,1.0,FALSE,TRUE,TRUE,TRUE,TRUE,2,1,FALSE,Two or More Lines,1.0,internet+phone
0111-KLBQG,Male,1,Yes,Yes,1,2,0,Mailed check,93.95,2861.45,No,30.0,FALSE,FALSE,TRUE,TRUE,TRUE,3,30.46,FALSE,One Line,30.0,internet+phone
0112-QAWRZ,Male,0,Yes,Yes,2,2,0,Bank transfer (automatic),90.8,1442.2,No,16.0,FALSE,FALSE,TRUE,TRUE,TRUE,3,15.88,FALSE,Two or More Lines,16.0,internet+phone
0112-QWPNC,Male,0,Yes,No,2,1,1,Electronic check,84.35,4059.35,Yes,48.0,FALSE,TRUE,TRUE,TRUE,TRUE,1,48.13,FALSE,Two or More Lines,48.0,internet+phone
0114-IGABW,Female,0,Yes,No,0,1,2,Bank transfer (automatic),58.25,4145.9,No,71.0,TRUE,FALSE,TRUE,FALSE,FALSE,1,71.17,FALSE,No Phone Service,71.0,internet
0114-PEGZZ,Female,0,No,No,2,2,0,Electronic check,107.55,3645.5,No,34.0,TRUE,FALSE,TRUE,TRUE,TRUE,0,33.9,FALSE,Two or More Lines,34.0,internet+phone
0114-RSRRW,Female,0,Yes,No,1,0,0,Bank transfer (automatic),19.95,187.75,No,9.0,TRUE,FALSE,FALSE,TRUE,FALSE,1,9.41,FALSE,One Line,9.0,phone
0115-TFERT,Male,0,Yes,No,2,2,0,Electronic check,111.2,2317.1,Yes,21.0,FALSE,TRUE,TRUE,TRUE,TRUE,1,20.84,FALSE,Two or More Lines,21.0,internet+phone
0117-LFRMW,Male,0,Yes,Yes,0,1,0,Bank transfer (automatic),40.2,1448.8,Yes,36.0,FALSE,TRUE,TRUE,FALSE,FALSE,3,36.04,FALSE,No Phone Service,36.0,internet
0118-JPNOY,Female,1,No,No,1,2,0,Credit card (automatic),85.8,2193.65,No,26.0,TRUE,FALSE,TRUE,TRUE,TRUE,0,25.57,FALSE,One Line,26.0,internet+phone
0121-SNYRK,Male,0,No,No,0,1,1,Mailed check,35.4,1748.9,No,49.0,FALSE,FALSE,TRUE,FALSE,FALSE,0,49.4,FALSE,No Phone Service,49.0,internet
0122-OAHPZ,Female,0,No,No,2,2,0,Electronic check,73.85,511.25,Yes,7.0,TRUE,TRUE,TRUE,TRUE,TRUE,0,6.92,FALSE,Two or More Lines,7.0,internet+phone
0123-CRBRT,Female,0,Yes,Yes,2,1,2,Mailed check,88.1,5526.75,No,63.0,TRUE,FALSE,TRUE,TRUE,TRUE,3,62.73,FALSE,Two or More Lines,63.0,internet+phone
0125-LZQXK,Male,0,No,No,1,2,0,Electronic check,101.35,1553.95,Yes,15.0,FALSE,TRUE,TRUE,TRUE,TRUE,0,15.33,FALSE,One Line,15.0,internet+phone
0128-MKWSG,Female,0,No,Yes,0,1,0,Mailed check,45.8,1147,No,25.0,TRUE,FALSE,TRUE,FALSE,FALSE,2,25.04,FALSE,No Phone Service,25.0,internet
0129-KPTWJ,Male,0,Yes,No,1,2,0,Electronic check,94.65,6747.35,No,71.0,FALSE,FALSE,TRUE,TRUE,TRUE,1,71.29,FALSE,One Line,71.0,internet+phone
0129-QMPDR,Male,0,Yes,Yes,1,0,1,Bank transfer (automatic),20.5,865.05,No,42.0,FALSE,FALSE,FALSE,TRUE,FALSE,3,42.2,FALSE,One Line,42.0,phone
0130-SXOUN,Male,0,No,No,2,2,0,Credit card (automatic),89.4,5976.9,No,67.0,FALSE,FALSE,TRUE,TRUE,TRUE,0,66.86,FALSE,Two or More Lines,67.0,internet+phone
0133-BMFZO,Female,0,No,No,1,2,0,Electronic check,86.25,181.65,Yes,2.0,TRUE,TRUE,TRUE,TRUE,TRUE,0,2.11,FALSE,One Line,2.0,internet+phone
0134-XWXCE,Female,1,No,No,1,1,1,Bank transfer (automatic),74.85,3268.05,No,44.0,TRUE,FALSE,TRUE,TRUE,TRUE,0,43.66,FALSE,One Line,44.0,internet+phone
0135-NMXAP,Female,0,No,No,2,2,0,Bank transfer (automatic),89.75,1052.4,Yes,12.0,TRUE,TRUE,TRUE,TRUE,TRUE,0,11.73,FALSE,Two or More Lines,12.0,internet+phone
0136-IFMYD,Male,1,Yes,No,2,2,2,Electronic check,109.95,7634.25,No,69.0,FALSE,FALSE,TRUE,TRUE,TRUE,1,69.43,FALSE,Two or More Lines,69.0,internet+phone
0137-OCGAB,Female,0,No,No,2,2,0,Mailed check,80.2,80.2,Yes,1.0,TRUE,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,Two or More Lines,1.0,internet+phone
0137-UDEUO,Female,0,No,No,1,0,0,Mailed check,19.85,63.75,Yes,3.0,TRUE,TRUE,FALSE,TRUE,FALSE,0,3.21,FALSE,One Line,3.0,phone
0139-IVFJG,Female,0,Yes,No,1,2,0,Electronic check,90.35,190.5,No,2.0,TRUE,FALSE,TRUE,TRUE,TRUE,1,2.11,FALSE,One Line,2.0,internet+phone
0141-YEAYS,Female,1,No,No,2,2,0,Bank transfer (automatic),86.45,2401.05,No,28.0,TRUE,FALSE,TRUE,TRUE,TRUE,0,27.77,FALSE,Two or More Lines,28.0,internet+phone
0142-GVYSN,Male,0,No,No,1,0,0,Electronic check,20.3,511.25,No,25.0,FALSE,FALSE,FALSE,TRUE,FALSE,0,25.18,FALSE,One Line,25.0,phone
0147-ESWWR,Female,1,Yes,No,2,2,0,Electronic check,101.25,3949.15,No,39.0,TRUE,FALSE,TRUE,TRUE,TRUE,1,39,FALSE,Two or More Lines,39.0,internet+phone
0148-DCDOS,Male,0,No,No,2,2,0,Bank transfer (automatic),94.7,2362.1,Yes,25.0,FALSE,TRUE,TRUE,TRUE,TRUE,0,24.94,FALSE,Two or More Lines,25.0,internet+phone
0151-ONTOV,Female,0,No,No,1,2,0,Mailed check,70.9,70.9,Yes,1.0,TRUE,TRUE,TRUE,TRUE,TRUE,0,1,FALSE,One Line,1.0,internet+phone
0156-FVPTA,Male,0,Yes,No,1,1,0,Electronic check,54.2,1152.7,Yes,21.0,FALSE,TRUE,TRUE,TRUE,TRUE,1,21.27,FALSE,One Line,21.0,internet+phone
0164-APGRB,Female,0,No,No,2,2,2,Electronic check,114.9,8496.7,No,74.0,TRUE,FALSE,TRUE,TRUE,TRUE,0,73.95,FALSE,Two or More Lines,74.0,internet+phone
0164-XAIRP,Female,0,No,No,1,0,2,Bank transfer (automatic),19.55,470.2,No,24.0,TRUE,FALSE,FALSE,TRUE,FALSE,0,24.05,FALSE,One Line,24.0,phone
0168-XZKBB,Female,0,Yes,No,2,2,0,Electronic check,86.85,1564.4,No,18.0,TRUE,FALSE,TRUE,TRUE,TRUE,1,18.01,FALSE,Two or More Lines,18.0,internet+phone
0174-QRVVY,Male,0,Yes,Yes,2,0,2,Credit card (automatic),25.35,1847.55,No,73.0,FALSE,FALSE,FALSE,TRUE,FALSE,3,72.88,FALSE,Two or More Lines,73.0,phone
0177-PXBAT,Male,1,Yes,No,2,2,0,Bank transfer (automatic),109.9,3694.7,No,34.0,FALSE,FALSE,TRUE,TRUE,TRUE,1,33.62,FALSE,Two or More Lines,34.0,internet+phone
0178-CIIKR,Female,0,No,No,1,0,0,Mailed check,19.95,58,No,3.0,TRUE,FALSE,FALSE,TRUE,FALSE,0,2.91,FALSE,One Line,3.0,phone
0178-SZBHO,Male,0,Yes,Yes,2,2,0,Electronic check,87.2,4017.45,No,46.0,FALSE,FALSE,TRUE,TRUE,TRUE,3,46.07,FALSE,Two or More Lines,46.0,internet+phone
0181-RITDD,Male,0,Yes,Yes,1,2,2,Mailed check,108.15,6825.65,No,63.0,FALSE,FALSE,TRUE,TRUE,TRUE,3,63.11,FALSE,One Line,63.0,internet+phone
0186-CAERR,Male,0,No,No,2,2,1,Bank transfer (automatic),116.3,8309.55,No,71.0,FALSE,FALSE,TRUE,TRUE,TRUE,0,71.45,FALSE,Two or More Lines,71.0,internet+phone
0187-QSXOE,Male,1,Yes,No,1,2,0,Electronic check,89,605.45,No,7.0,FALSE,FALSE,TRUE,TRUE,TRUE,1,6.8,FALSE,One Line,7.0,internet+phone
0187-WZNAB,Female,0,Yes,Yes,1,2,0,Mailed check,74.4,1972.35,No,27.0,TRUE,FALSE,TRUE,TRUE,TRUE,3,26.51,FALSE,One Line,27.0,internet+phone
0188-GWFLE,Male,0,No,No,1,0,0,Mailed check,20.05,33.7,No,2.0,FALSE,FALSE,FALSE,TRUE,FALSE,0,1.68,FALSE,One Line,2.0,phone
0191-EQUUH,Female,0,No,Yes,0,1,2,Bank transfer (automatic),35.05,844.45,No,24.0,TRUE,FALSE,TRUE,FALSE,FALSE,2,24.09,FALSE,No Phone Service,24.0,internet
0191-ZHSKZ,Male,1,No,No,1,1,0,Electronic check,74.75,2111.3,No,28.0,FALSE,FALSE,TRUE,TRUE,TRUE,0,28.24,FALSE,One Line,28.0,internet+phone
0193-ESZXP,Female,1,Yes,No,1,2,1,Credit card (automatic),105.5,6205.5,Yes,59.0,TRUE,TRUE,TRUE,TRUE,TRUE,1,58.82,FALSE,One Line,59.0,internet+phone
0195-IESCP,Male,0,Yes,No,2,2,0,Electronic check,85.25,855.3,Yes,10.0,FALSE,TRUE,TRUE,TRUE,TRUE,1,10.03,FALSE,Two or More Lines,10.0,internet+phone
0196-JTUQI,Female,0,No,No,2,2,0,Credit card (automatic),75.2,633.85,No,8.0,TRUE,FALSE,TRUE,TRUE,TRUE,0,8.43,FALSE,Two or More Lines,8.0,internet+phone
0196-VULGZ,Female,1,Yes,No,2,2,0,Electronic check,84.35,474.9,Yes,6.0,TRUE,TRUE,TRUE,TRUE,TRUE,1,5.63,FALSE,Two or More Lines,6.0,internet+phone
0197-PNKNK,Female,0,Yes,Yes,2,2,1,Bank transfer (automatic),84.45,5848.6,No,69.0,TRUE,FALSE,TRUE,TRUE,TRUE,3,69.26,FALSE,Two or More Lines,69.0,internet+phone
0201-MIBOL,Female,1,No,No,2,2,2,Bank transfer (automatic),102.4,6471.85,No,63.0,TRUE,FALSE,TRUE,TRUE,TRUE,0,63.2,FALSE,Two or More Lines,63.0,internet+phone
0201-OAMXR,Female,0,No,No,2,2,1,Credit card (automatic),115.55,8127.6,Yes,70.0,TRUE,TRUE,TRUE,TRUE,TRUE,0,70.34,FALSE,Two or More Lines,70.0,internet+phone
0203-HHYIJ,Male,0,No,No,2,0,1,Bank transfer (automatic),25.3,676.35,Yes,27.0,FALSE,TRUE,FALSE,TRUE,FALSE,0,26.73,FALSE,Two or More Lines,27.0,phone
0206-OYVOC,Female,0,Yes,Yes,1,0,2,Mailed check,19.25,864.2,No,45.0,TRUE,FALSE,FALSE,TRUE,FALSE,3,44.89,FALSE,One Line,45.0,phone
0206-TBWLC,Female,0,Yes,No,2,2,1,Mailed check,114.65,6049.5,No,53.0,TRUE,FALSE,TRUE,TRUE,TRUE,1,52.76,FALSE,Two or More Lines,53.0,internet+phone
0207-MDKNV,Female,0,No,No,1,2,0,Electronic check,105.1,1582.75,Yes,15.0,TRUE,TRUE,TRUE,TRUE,TRUE,0,15.06,FALSE,One Line,15.0,internet+phone
0208-BPQEJ,Female,0,Yes,Yes,1,0,0,Bank transfer (automatic),19.4,198.1,No,10.0,TRUE,FALSE,FALSE,TRUE,FALSE,3,10.21,FALSE,One Line,10.0,phone
0212-ISBBF,Female,0,No,No,0,1,0,Electronic check,50.35,1098.85,No,22.0,TRUE,FALSE,TRUE,FALSE,FALSE,0,21.82,FALSE,No Phone Service,22.0,internet
0214-JHPFW,Female,0,Yes,No,0,1,2,Bank transfer (automatic),57.8,4039.3,No,70.0,TRUE,FALSE,TRUE,FALSE,FALSE,1,69.88,FALSE,No Phone Service,70.0,internet
0215-BQKGS,Male,0,No,No,1,2,0,Credit card (automatic),84.3,2438.6,No,29.0,FALSE,FALSE,TRUE,TRUE,TRUE,0,28.93,FALSE,One Line,29.0,internet+phone
0218-QNVAS,Male,0,Yes,Yes,2,2,1,Bank transfer (automatic),100.55,7113.75,No,71.0,FALSE,FALSE,TRUE,TRUE,TRUE,3,70.75,FALSE,Two or More Lines,71.0,internet+phone
0219-QAERP,Male,0,Yes,No,1,0,1,Credit card (automatic),19.8,576.65,No,29.0,FALSE,FALSE,FALSE,TRUE,FALSE,1,29.12,FALSE,One Line,29.0,phone
0219-YTZUE,Male,0,Yes,Yes,2,2,0,Bank transfer (automatic),84.8,371.9,Yes,4.0,FALSE,TRUE,TRUE,TRUE,TRUE,3,4.39,FALSE,Two or More Lines,4.0,internet+phone
0220-EBGCE,Male,0,No,No,1,2,0,Electronic check,85.85,167.3,Yes,2.0,FALSE,TRUE,TRUE,TRUE,TRUE,0,1.95,FALSE,One Line,2.0,internet+phone
0221-NAUXK,Male,0,No,Yes,1,0,1,Bank transfer (automatic),19.95,219.5,No,11.0,FALSE,FALSE,FALSE,TRUE,FALSE,2,11,FALSE,One Line,11.0,phone
0221-WMXNQ,Male,1,No,No,1,2,0,Electronic check,75.35,273.4,No,4.0,FALSE,FALSE,TRUE,TRUE,TRUE,0,3.63,FALSE,One Line,4.0,internet+phone
0222-CNVPT,Male,1,No,No,0,1,0,Credit card (automatic),48.8,2555.05,No,52.0,FALSE,FALSE,TRUE,FALSE,FALSE,0,52.36,FALSE,No Phone Service,52.0,internet
0224-HJAPT,Male,0,No,No,2,1,0,Electronic check,47.15,223.15,Yes,5.0,FALSE,TRUE,TRUE,TRUE,TRUE,0,4.73,FALSE,Two or More Lines,5.0,internet+phone
0224-NIJLP,Male,0,Yes,Yes,1,0,2,Mailed check,20.15,165.5,No,8.0,FALSE,FALSE,FALSE,TRUE,FALSE,3,8.21,FALSE,One Line,8.0,phone
0224-RLWWD,Female,1,No,No,1,1,0,Electronic check,44.3,89.3,No,2.0,TRUE,FALSE,TRUE,TRUE,TRUE,0,2.02,FALSE,One Line,2.0,internet+phone
0225-ZORZP,Male,0,No,No,1,2,0,Electronic check,84.3,235.05,No,3.0,FALSE,FALSE,TRUE,TRUE,TRUE,0,2.79,FALSE,One Line,3.0,internet+phone
0228-MAUWC,Male,0,No,No,2,1,0,Electronic check,59.55,1144.6,No,19.0,FALSE,FALSE,TRUE,TRUE,TRUE,0,19.22,FALSE,Two or More Lines,19.0,internet+phone
0229-LFJAF,Male,0,No,No,2,1,2,Bank transfer (automatic),69.65,4908.25,No,70.0,FALSE,FALSE,TRUE,TRUE,TRUE,0,70.47,FALSE,Two or More Lines,70.0,internet+phone
0230-UBYPQ,Male,1,Yes,No,0,1,1,Bank transfer (automatic),36.1,2298.9,No,64.0,FALSE,FALSE,TRUE,FALSE,FALSE,1,63.68,FALSE,No Phone Service,64.0,internet
